epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,33291,0.68324,0.48126,1.10064,0.83216,0.71806,0.7983,0.60678,0.94353,5.0648,1.0549,0.000142,0.000142,0.000142
132,33537.1,0.66419,0.45248,1.09201,0.83184,0.71846,0.79817,0.60663,0.94332,5.06138,1.0547,0.0001354,0.0001354,0.0001354
133,33782.9,0.65283,0.44621,1.07956,0.83326,0.71879,0.79837,0.60687,0.94357,5.01974,1.05457,0.0001288,0.0001288,0.0001288
134,34028.6,0.65553,0.44363,1.08285,0.83369,0.71911,0.79837,0.60698,0.94311,5.01675,1.05439,0.0001222,0.0001222,0.0001222
135,34275.5,0.64779,0.43607,1.07822,0.83428,0.71899,0.7985,0.60708,0.94246,5.01094,1.05449,0.0001156,0.0001156,0.0001156
136,34521.3,0.6447,0.43219,1.07342,0.83262,0.72063,0.79863,0.60701,0.94247,5.00838,1.05472,0.000109,0.000109,0.000109
137,34767.2,0.64627,0.43311,1.07697,0.83363,0.71817,0.79897,0.60692,0.94155,5.00755,1.05435,0.0001024,0.0001024,0.0001024
138,35014,0.63515,0.4198,1.0696,0.83311,0.71968,0.79911,0.6073,0.94102,5.0205,1.05398,9.58e-05,9.58e-05,9.58e-05
139,35259.9,0.62777,0.41642,1.06406,0.83521,0.71886,0.79865,0.60715,0.94085,5.02003,1.05406,8.92e-05,8.92e-05,8.92e-05
140,35505.9,0.63088,0.42034,1.06415,0.8348,0.71899,0.79887,0.6078,0.93983,5.0189,1.05398,8.26e-05,8.26e-05,8.26e-05
141,35751.7,0.62374,0.41379,1.06099,0.83402,0.72025,0.79902,0.6078,0.93953,5.01998,1.05372,7.6e-05,7.6e-05,7.6e-05
142,35998.6,0.62019,0.40699,1.05842,0.83379,0.72006,0.79827,0.60786,0.93991,5.00699,1.05451,6.94e-05,6.94e-05,6.94e-05
143,36244.4,0.61795,0.40962,1.05892,0.83428,0.721,0.79827,0.6083,0.9393,5.0002,1.05452,6.28e-05,6.28e-05,6.28e-05
144,36490.4,0.62399,0.41134,1.06196,0.83502,0.71755,0.79902,0.60831,0.93897,5.00372,1.05457,5.62e-05,5.62e-05,5.62e-05
145,36736.6,0.61206,0.40093,1.05514,0.83426,0.72167,0.79922,0.60847,0.93853,4.99414,1.05464,4.96e-05,4.96e-05,4.96e-05
146,36983.3,0.61133,0.39859,1.04973,0.83341,0.72199,0.79953,0.60876,0.93876,4.98686,1.05482,4.3e-05,4.3e-05,4.3e-05
147,37229,0.60727,0.39128,1.04943,0.82976,0.7246,0.79814,0.60893,0.93855,4.98095,1.05502,3.64e-05,3.64e-05,3.64e-05
148,37474.9,0.60828,0.39769,1.05517,0.82991,0.72546,0.79914,0.60872,0.93843,4.9732,1.05536,2.98e-05,2.98e-05,2.98e-05
149,37721.3,0.59867,0.38688,1.04768,0.82904,0.72517,0.79987,0.60926,0.93816,4.97311,1.05572,2.32e-05,2.32e-05,2.32e-05
150,37967.2,0.60849,0.39172,1.0489,0.83151,0.72549,0.79957,0.60885,0.93806,4.95778,1.05618,1.66e-05,1.66e-05,1.66e-05
