epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,10055.2,1.4304,1.86702,1.52674,0.53586,0.33247,0.33824,0.19722,0.99779,15.93,0.97428,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10218.3,1.45318,1.91188,1.54372,0.54232,0.33305,0.34668,0.20186,0.97813,16.2807,0.97004,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10380.2,1.41968,1.82118,1.50667,0.56916,0.31913,0.34426,0.19958,0.97819,15.2525,0.97374,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10540.3,1.46034,1.9075,1.54173,0.60084,0.32728,0.33924,0.19465,0.96696,14.7465,0.96505,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10700.9,1.44858,1.85173,1.51958,0.58458,0.33019,0.33967,0.19694,0.96204,16.5153,0.95983,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10867.2,1.43786,1.81169,1.53297,0.58253,0.34358,0.35784,0.20399,0.96546,16.7205,0.9609,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11029.2,1.39479,1.82863,1.51037,0.55743,0.34183,0.35744,0.20672,0.96469,16.1073,0.9612,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11192.4,1.43117,1.86826,1.50868,0.60367,0.33892,0.351,0.20649,0.96431,17.5023,0.95791,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11353.4,1.42458,1.81353,1.51325,0.61761,0.33105,0.35385,0.20805,0.95661,17.6944,0.95853,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11513.7,1.41179,1.77922,1.50796,0.60513,0.33252,0.35484,0.20763,0.96079,16.0907,0.95349,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11674.6,1.36445,1.71881,1.47284,0.61675,0.34172,0.36332,0.20874,0.96794,17.6646,0.95641,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,11835.5,1.38028,1.73853,1.48073,0.62352,0.32844,0.36151,0.20878,0.97135,18.5494,0.9663,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,11997,1.3881,1.71218,1.49606,0.55348,0.34729,0.3606,0.21164,0.96774,18.1195,0.9573,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12159.7,1.38825,1.69274,1.48877,0.51302,0.38506,0.36898,0.21338,0.9588,18.6715,0.9516,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12321,1.37749,1.69319,1.48082,0.60665,0.33887,0.36194,0.21096,0.9597,20.3151,0.95767,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12481.8,1.37833,1.6307,1.48213,0.61223,0.3431,0.36202,0.21021,0.96278,19.8704,0.9562,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12642.7,1.37765,1.62776,1.48238,0.5292,0.35569,0.36082,0.21466,0.95129,18.7972,0.94007,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,12804,1.34521,1.63162,1.47301,0.50548,0.34929,0.36609,0.21451,0.95067,18.8149,0.93785,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12967,1.32799,1.66957,1.43805,0.62075,0.32786,0.36308,0.21356,0.95624,18.0173,0.94585,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13127.8,1.34966,1.66839,1.46047,0.52156,0.34453,0.36489,0.21518,0.95839,17.8715,0.94756,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13288.8,1.32069,1.64572,1.4402,0.56247,0.36383,0.365,0.21476,0.96317,17.7462,0.95185,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13449.4,1.33733,1.64702,1.43918,0.57321,0.35854,0.36796,0.2166,0.95915,18.2252,0.94523,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13610.3,1.34057,1.62906,1.46224,0.55312,0.35529,0.37625,0.22094,0.95808,18.2898,0.94213,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13771.3,1.31633,1.53633,1.42102,0.60153,0.35035,0.37675,0.22266,0.95093,18.6654,0.93982,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,13934.5,1.29645,1.55125,1.41864,0.63549,0.34463,0.37331,0.22193,0.94302,19.2225,0.93955,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14095.9,1.33393,1.53999,1.43439,0.56235,0.35289,0.37235,0.2194,0.94822,18.5949,0.93901,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14257.5,1.29057,1.53353,1.41341,0.54429,0.36082,0.37102,0.21991,0.95174,18.4382,0.93875,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14418.3,1.27979,1.48223,1.41297,0.50847,0.37247,0.37534,0.22144,0.94502,18.4178,0.93818,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,14579.6,1.3023,1.47194,1.43224,0.61546,0.34416,0.3761,0.22275,0.94287,18.3136,0.93787,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,14737.3,1.09437,1.28257,1.26711,0.55978,0.3522,0.37021,0.22326,0.9445,17.1693,0.93494,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,14918,1.0858,1.198,1.26921,0.60284,0.33763,0.36559,0.22373,0.94914,17.2085,0.93677,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15068.5,1.07388,1.16411,1.23298,0.55759,0.33082,0.36512,0.22274,0.94659,17.6027,0.9331,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15277.4,1.04638,1.18565,1.22234,0.56488,0.32923,0.3665,0.22293,0.94355,17.9574,0.93126,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,15481.5,1.02432,1.1493,1.20971,0.51659,0.33183,0.36428,0.2243,0.94093,17.5852,0.93074,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,15690.1,1.0612,1.11913,1.22522,0.66713,0.31506,0.35868,0.22171,0.93845,18.045,0.93204,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,15893.4,1.00996,1.11642,1.19074,0.6525,0.31821,0.35956,0.22181,0.93912,18.1685,0.93091,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16104,1.04134,1.09752,1.23085,0.60768,0.31855,0.3591,0.22297,0.93917,18.1498,0.93052,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16318.1,1.02177,1.03982,1.21537,0.58674,0.32087,0.35857,0.22275,0.93913,18.0104,0.9284,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16533.4,1.00394,1.05587,1.1813,0.56302,0.31691,0.36025,0.22319,0.93936,18.2167,0.92732,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
